"","ICC","ICCk","sigma2_b","sigma2_w","var.data","error.message"
"A5_L",0.24160605954933,0.389183119220643,0.00536278862569449,0.0168336274563266,0.032622319895509,0
"PHA1_L",0.267296171824682,0.42183694351388,0.0040206085799442,0.0110211653163961,0.0162980097834707,0
"PHA3_L",0.302981833203956,0.46505918268859,0.00649100287216064,0.0149327333417236,0.0251929495845482,0
"STSda_L",0.457239413169824,0.627541924871803,0.00983471296654962,0.0116741786190865,0.0240772613413966,0
"STSdp_L",0.302434685448826,0.464414360010084,0.00813219924305901,0.0187569098252031,0.0317725451599025,0
"STSvp_L",0.319527766354001,0.484306241219752,0.00604813703658633,0.0128802243562251,0.0220968731098443,0
"TGd_L",0.480132018703236,0.648769180905749,0.00863418640848565,0.00934875593267561,0.0210479133987137,0
"TE1a_L",0.594139349743715,0.745404534226237,0.0180858317463254,0.0123545552674733,0.0299023601032333,0
"TE1p_L",0.600460651789404,0.750359780626979,0.0146102011784829,0.00972145341860644,0.0284428051222019,0
"TE2a_L",0.513527955502959,0.678584037560521,0.0052930337589751,0.00501416315650927,0.0129244832907726,0
"TF_L",0.0397564296841322,0.0764725825185998,0.000594154324990709,0.0143507069140921,0.0187531400933923,0
"TE2p_L",0.0194483958492011,0.0381547431500945,0.000276393449691479,0.0139352388018617,0.0299781827324907,0
"PHT_L",0.491618475832222,0.659174559443469,0.0111397514891112,0.0115195911449377,0.0312191936691232,0
"PH_L",0.454114847009751,0.624592820771475,0.00533996140608671,0.00641909347011743,0.0189337361499252,0
"TPOJ1_L",0.516836678828964,0.681466483561005,0.0112916132724466,0.0105559330317957,0.0265099678576886,0
"TPOJ2_L",0.352445105717924,0.521196911028539,0.00751593869296031,0.0138091941320522,0.0328318353306577,0
"TPOJ3_L",0.309080533184244,0.472210112898751,0.0054118583540495,0.0120976829240596,0.0252611649067113,0
"DVT_L",0.562478005656873,0.719981981980482,0.0132297123121465,0.0102906959155434,0.0304479929216548,0
"PGp_L",0.0317010698290746,0.0614539826624908,0.000388383692997965,0.0118630543528487,0.0192612041808372,0
"IP2_L",0.719268012986174,0.836714238330866,0.0238303673669059,0.00930104809528006,0.0372264505813121,0
"IP1_L",0.702493606168347,0.825252563208608,0.0231826225254472,0.00981785224313266,0.0329266678898348,0
"IP0_L",0.490554537435787,0.658217495724365,0.00873925515486959,0.00907579798998804,0.0247614324813497,0
"PFop_L",0,0,0,0.0203588082559153,0.0357562169009891,0
"PF_L",0.546970893313307,0.707150852905581,0.0110882675265551,0.00918386699122021,0.0356285615607717,0
"PFm_L",0.53652695399607,0.698363217906091,0.0106243938555425,0.0091777685081779,0.0218672010096521,0
"PGi_L",0.464252602201329,0.634115454537531,0.0046652881049878,0.00538374141658424,0.010478505354434,0
"PGs_L",0.0430449790835499,0.082537148343057,0.00025550418620756,0.00568024468967479,0.00714046599980701,0
"V6A_L",0.504557357008543,0.670705380101608,0.00960184482223445,0.00942838967709498,0.0252114347338617,0
"VMV1_L",0.191167296574666,0.320974723071039,0.00313908109610917,0.0132815156919147,0.0254364473334033,0
"VMV3_L",0.132073122386423,0.233329667094315,0.00238465460611099,0.0156709085775465,0.0240214433697988,0
"PHA2_L",0.318381049889072,0.482987903862636,0.00567663430423432,0.0121530521868811,0.0209136175932285,0
"V4t_L",0.317807471751659,0.482327621544325,0.00546346244630667,0.0117276451642027,0.0183756230270724,0
"FST_L",0.205729829621587,0.341253611824723,0.00299860647386977,0.0115768514428811,0.0198453140443801,0
"V3CD_L",0.570093160592213,0.726190234950368,0.00913056995449457,0.00688535618819014,0.0211635475653666,0
"LO3_L",0.419973105749248,0.591522619757857,0.00708769002303051,0.00978884308350213,0.0235163893738014,0
"VMV2_L",0.237354259791662,0.383648026284124,0.0052239614842419,0.016785171567877,0.0261414250422925,0
"X31pd_L",0.310871445529831,0.474297379182262,0.00141168935061327,0.00312938179282117,0.00489725041757042,0
"X31a_L",0.473561780371912,0.642744385311608,0.00596195682623147,0.00662765042955097,0.013063049170427,0
"VVC_L",0.136835235629856,0.240730109942525,0.00183297598827675,0.0115625210110124,0.0228587725210126,0
"X25_L",0.304357843978935,0.466678443164789,0.00623536882540349,0.0142515972533648,0.0202046801836121,0
"s32_L",0.389784297227447,0.560927761243306,0.00632491260815979,0.00990178675646104,0.0163282276806438,0
"pOFC_L",0.497505838399177,0.664445941567757,0.0078838751500819,0.00796292410648525,0.0180497572956357,0
"PoI1_L",0.316641862317912,0.48098404187221,0.00455047672941286,0.00982057546217681,0.0252871460382125,0
"Ig_L",0.0908249000308098,0.166525168298312,0.00206894758403673,0.0207105719456836,0.0316476810857318,0
"FOP5_L",0.715681888972018,0.834282734546824,0.0205839980234037,0.00817738093641582,0.0355137125775399,0
"p10p_L",0.365581273303279,0.535422212431128,0.00510868249969999,0.00886545368495608,0.0145925875183846,0
"p47r_L",0.520388238300918,0.684546519358067,0.0110524244622511,0.0101863808157805,0.0314946175401886,0
"TGv_L",0,0,0,0.0129753006861762,0.0202466805730854,0
"MBelt_L",0.163882237760664,0.281613091846779,0.00260392751405507,0.0132850885845527,0.0243546724581347,0
"LBelt_L",0.197114664333875,0.329316263857745,0.00369262503032719,0.0150407606505706,0.0279627715590019,0
"A4_L",0.055059557361567,0.104372415713207,0.00122082179795955,0.0209519281561059,0.0309065831905991,0
"STSva_L",0.620511033614344,0.765821423912645,0.0110765333286428,0.00677412963882189,0.0178363279054751,0
"TE1m_L",0.584900446118731,0.738091086479401,0.0102535456772312,0.00727686611382048,0.0196777097230389,0
"PI_L",0.153166893259256,0.265645665262472,0.00255353699386084,0.0141180618061398,0.0227323548677739,0
"a32pr_L",0.320758084831831,0.485718147048364,0.00726072123655075,0.0153754072973798,0.0265702441332372,0
"p24_L",0.421136854987998,0.592676002328508,0.00992931351778011,0.0136480898848812,0.0293846471958596,0
"V1_R",0.158713199592574,0.273947340288142,0.0018720110565352,0.00992291880021746,0.0188876331127386,0
