delta.sigma2_w,delta.sigma2_b,delta.theta,delta.sigma2_w_norm,delta.sigma2_b_norm,delta.theta_norm,parcel,contrast,comp
-3.55232077380797,-1.24381858795724,3.47839444404907,-3.20822511793534,-1.96808514867227,3.69184308086082,29,30min_10min_cpac_default_all,30min_10min
-3.85747742263366,-1.25847397071042,3.45694814980647,-3.33506970467084,-2.31110338714452,3.7475849255563,30,30min_10min_cpac_default_all,30min_10min
-3.93948651503791,-1.26641523948684,3.45262583931466,-3.60882382207271,-2.02478447796563,3.65289130174007,31,30min_10min_cpac_default_all,30min_10min
-4.46224855576685,-0.74153578401427,3.30626763164552,-4.18507297543845,-1.716595957898,3.53083634730235,32,30min_10min_cpac_default_all,30min_10min
-2.90382271601267,-0.71552708181373,3.38318839193326,-2.84390791726828,-0.925393499511896,3.456181801491,33,30min_10min_cpac_default_all,30min_10min
-3.72057197644425,-0.72735315953373,3.33465273852739,-3.604635848538,-1.17400973165504,3.45645249092394,34,30min_10min_cpac_default_all,30min_10min
-4.64242477633953,-0.78642686444422,3.30939962841211,-4.23344242973761,-2.06119873160936,3.59469315324024,35,30min_10min_cpac_default_all,30min_10min
-3.75091711726817,-0.92107466736508,3.3823880116154,-3.51835061859177,-1.5934135333089,3.56684440929004,36,30min_10min_cpac_default_all,30min_10min
-2.89870519811718,-1.01589783275131,3.47868262401357,-2.71812368567508,-1.43050475761266,3.62604561709006,37,30min_10min_cpac_default_all,30min_10min
-4.45823503360246,-1.19502302354873,3.40348465458077,-4.19999797166215,-1.91414646244368,3.56921746610041,38,30min_10min_cpac_default_all,30min_10min
-2.83051834672229,-1.16806726191581,3.53297267531934,-2.77039155159009,-1.304279835913,3.58160253430173,39,30min_10min_cpac_default_all,30min_10min
-3.12363914022921,-1.7240058299406,3.64591045462978,-2.90805270665186,-2.06701403850479,3.75952341037054,40,30min_10min_cpac_default_all,30min_10min
-3.47724138378958,-0.82301654365856,3.3740023727119,-3.26567056281474,-1.45050323937584,3.55958531534857,41,30min_10min_cpac_default_all,30min_10min
-4.76818915442415,-0.30380914148409,3.20522247296041,-4.47900128683393,-1.66327246095082,3.49715857452735,42,30min_10min_cpac_default_all,30min_10min
-4.09995247552595,-0.59103345478407,3.28476252471362,-3.91831057814475,-1.34379055639051,3.47197445314756,43,30min_10min_cpac_default_all,30min_10min
-5.30643902734685,-0.33406257760042,3.20446387477177,-4.92246262651749,-2.00978970224284,3.52922464438112,44,30min_10min_cpac_default_all,30min_10min
-4.6510301626418,-0.46616934396209,3.24148829794679,-4.32486210703731,-1.77340440570296,3.53073163911357,45,30min_10min_cpac_default_all,30min_10min
-4.21886212570227,-0.36768585354733,3.22852584278953,-4.13303180657937,-0.923059374248045,3.36132376961692,46,30min_10min_cpac_default_all,30min_10min
